Date,Text,SA
05-09-2012,Netural,0
06-09-2012,Sensex Live            Change                   sensex stock price,0
07-09-2012,Netural,0
08-09-2012,Netural,0
09-09-2012,Netural,0
10-09-2012,Sensex Live            Change                bse stock price,0
11-09-2012,Sensex Live            Change                bse live stock price ,0
12-09-2012,Netural,0
13-09-2012,Sensex Live            Change                sensex stock price,0
14-09-2012,Netural,0
15-09-2012,Netural,0
16-09-2012,Sensex Live            Change                 bse live stock price  Sensex Live            Change                 nifty stock price,0.4019
17-09-2012,Netural,0
18-09-2012,Sensex Live            Change                  intraday stock price Sensex Live            Change                  nse stock price,0
19-09-2012,Netural,0
20-09-2012,Sensex Live            Change                   market stock price,0
21-09-2012,Sensex Live            Change                 future stock price,0
22-09-2012,Netural,0
23-09-2012,Sensex Live            Change                 intraday stock price,0
24-09-2012,Sensex Live            Change                 market stock price,0
25-09-2012,Sensex Live            Change                nse stock price,0
26-09-2012,Sensex Live            Change                  bse stock price,0
27-09-2012,BSE halves circuit filter for Kingfisher and UB  Following a sharp rally in the stock price of Kingfisher Airlin Sensex Live           Change                  stock price,0
28-09-2012,Sensex Live            Change                 free stock price,0.5106
29-09-2012,Netural,0
30-09-2012,Netural,0
01-10-2012,sensex stock price,0
02-10-2012,Netural,0
03-10-2012,future stock price,0
04-10-2012,Netural,0
05-10-2012,India stock exchange flash crash briefly erases US    billion S P     returns to   year high stock price nse,-0.4019
06-10-2012,Netural,0
07-10-2012,Netural,0
08-10-2012,Netural,0
09-10-2012,Netural,0
10-10-2012,Netural,0
11-10-2012,Netural,0
12-10-2012,market stock price stock price nse ,0
13-10-2012,nifty stock price ,0.4019
14-10-2012,nifty stock price  bse live stock price,0.4019
15-10-2012,Netural,0
16-10-2012,Now a  nd ca send him the copy of closing stock price of Bse on   th march since   st was holiday for stock valuation got a reply from    ,0.4019
17-10-2012,Netural,0
18-10-2012,Netural,0
19-10-2012,Netural,0
20-10-2012,Netural,0
21-10-2012,Netural,0
22-10-2012,Netural,0
23-10-2012,Multi Commodity Exchange of India Stock Price  Share Price  Live BSE NSE  Multi Commodity Exchange  KFA stock price held by close circuit limits from crashing,0.296
24-10-2012,nifty stock price,0.4019
25-10-2012,nse stock price  kfa stock price up by     something to wonder about bse live stock price ,0
26-10-2012,Netural,0
27-10-2012,nse stock price,0
28-10-2012,future stock price live stock price ,0
29-10-2012,Netural,0
30-10-2012,Netural,0
31-10-2012,Netural,0
01-11-2012,Netural,0
02-11-2012,stock price nse at http Sinking stock price hits Ricoh s delisting plan,0
03-11-2012,Netural,0
04-11-2012,sensex stock price ,0
05-11-2012,stock price live,0
06-11-2012,Netural,0
07-11-2012,live stock price ,0
08-11-2012,stock price nse ,0
09-11-2012,future stock price ,0
10-11-2012,Netural,0
11-11-2012,nifty stock price ,0.4019
12-11-2012,Netural,0
13-11-2012,nse stock price ,0
14-11-2012,intraday stock price  live stock price ,0
15-11-2012,Netural,0
16-11-2012,Netural,0
17-11-2012,stock price nse,0
18-11-2012,live stock price  bse stock price ,0
19-11-2012,Netural,0
20-11-2012,Netural,0
21-11-2012,Netural,0
22-11-2012,free stock price,0.5106
23-11-2012,Netural,0
24-11-2012,free stock price stock price nse ,0.5106
25-11-2012,Netural,0
